# #nodes     | #leaves    | min depth  | max depth  | depth diff | %left      | %right     
  139           51            2           12           10          0.188          0.812        
  140           51            2           12           10          0.187          0.813        
  141           52            2           12           10          0.186          0.814        
  142           52            2           12           10          0.184          0.816        
  143           53            2           12           10          0.183          0.817        
  144           53            2           12           10          0.182          0.818        
  145           53            2           12           10          0.188          0.813        
  146           53            2           12           10          0.193          0.807        
  147           53            2           12           10          0.192          0.808        
  148           53            2           13           11          0.190          0.810        
  149           53            2           13           11          0.189          0.811        
  150           53            2           13           11          0.188          0.812        
  151           53            2           13           11          0.187          0.813        
  152           53            2           13           11          0.185          0.815        
  153           53            2           13           11          0.184          0.816        
  154           54            2           13           11          0.183          0.817        
  155           54            2           13           11          0.182          0.818        
  156           54            2           13           11          0.181          0.819        
  157           54            2           13           11          0.179          0.821        
  158           54            2           13           11          0.178          0.822        
  159           55            2           13           11          0.177          0.823        
  160           55            2           13           11          0.176          0.824        
  161           55            2           13           11          0.175          0.825        
  162           56            2           13           11          0.174          0.826        
  163           56            2           13           11          0.173          0.827        
  164           56            2           13           11          0.172          0.828        
  165           57            2           13           11          0.171          0.829        
  166           57            2           13           11          0.170          0.830        
  167           57            3           13           10          0.175          0.825        
  168           57            3           13           10          0.174          0.826        
  169           57            3           13           10          0.179          0.821        
  170           57            3           13           10          0.178          0.822        
  171           58            3           13           10          0.176          0.824        
  172           58            3           13           10          0.175          0.825        
  173           58            3           13           10          0.174          0.826        
  174           58            3           13           10          0.173          0.827        
  175           58            3           13           10          0.172          0.828        
  176           58            3           13           10          0.171          0.829        
  177           59            3           13           10          0.170          0.830        
  178           60            3           13           10          0.169          0.831        
  179           60            3           13           10          0.169          0.831        
  180           61            3           13           10          0.168          0.832        
  181           61            3           13           10          0.172          0.828        
  182           62            3           13           10          0.171          0.829        
  183           63            3           13           10          0.170          0.830        
  184           63            3           13           10          0.169          0.831        
  185           63            3           13           10          0.168          0.832        
  186           63            3           13           10          0.173          0.827        
  187           64            3           13           10          0.172          0.828        
  188           64            3           13           10          0.171          0.829        
  189           64            3           13           10          0.170          0.830        
  190           64            3           13           10          0.169          0.831        
  191           64            3           13           10          0.168          0.832        
  192           64            3           13           10          0.173          0.827        
  193           64            3           13           10          0.172          0.828        
  194           65            3           13           10          0.171          0.829        
  195           65            3           13           10          0.170          0.830        
  196           65            3           13           10          0.169          0.831        
  197           65            3           13           10          0.168          0.832        
  198           65            3           13           10          0.168          0.832        
  199           65            3           13           10          0.172          0.828        
  200           65            3           13           10          0.171          0.829        
  201           66            3           13           10          0.175          0.825        
  202           66            3           13           10          0.179          0.821        
