# #nodes     | #leaves    | min depth  | max depth  | depth diff | %left      | %right     
  139           52            4           15           11          0.797          0.203        
  140           52            4           15           11          0.799          0.201        
  141           52            4           15           11          0.800          0.200        
  142           52            4           15           11          0.801          0.199        
  143           53            4           15           11          0.796          0.204        
  144           53            4           15           11          0.797          0.203        
  145           54            4           15           11          0.799          0.201        
  146           54            4           15           11          0.800          0.200        
  147           54            4           15           11          0.801          0.199        
  148           54            4           15           11          0.803          0.197        
  149           54            4           15           11          0.804          0.196        
  150           54            4           15           11          0.805          0.195        
  151           54            4           15           11          0.807          0.193        
  152           54            4           15           11          0.801          0.199        
  153           55            4           15           11          0.803          0.197        
  154           55            4           15           11          0.804          0.196        
  155           55            4           15           11          0.805          0.195        
  156           55            4           15           11          0.806          0.194        
  157           55            4           15           11          0.808          0.192        
  158           55            4           15           11          0.809          0.191        
  159           56            4           15           11          0.810          0.190        
  160           57            4           15           11          0.811          0.189        
  161           57            4           15           11          0.813          0.188        
  162           57            4           15           11          0.814          0.186        
  163           57            4           15           11          0.815          0.185        
  164           58            4           15           11          0.816          0.184        
  165           58            4           15           11          0.817          0.183        
  166           59            4           15           11          0.818          0.182        
  167           60            4           15           11          0.819          0.181        
  168           60            4           15           11          0.814          0.186        
  169           61            4           15           11          0.810          0.190        
  170           62            4           15           11          0.811          0.189        
  171           63            4           15           11          0.812          0.188        
  172           63            4           15           11          0.813          0.187        
  173           63            4           15           11          0.814          0.186        
  174           64            4           15           11          0.809          0.191        
  175           65            4           15           11          0.810          0.190        
  176           65            4           15           11          0.806          0.194        
  177           66            4           15           11          0.807          0.193        
  178           66            4           15           11          0.802          0.198        
  179           66            4           15           11          0.803          0.197        
  180           66            4           15           11          0.804          0.196        
  181           66            4           15           11          0.800          0.200        
  182           67            4           15           11          0.801          0.199        
  183           67            4           15           11          0.802          0.198        
  184           67            4           15           11          0.803          0.197        
  185           67            4           15           11          0.804          0.196        
  186           67            4           15           11          0.805          0.195        
  187           67            4           15           11          0.806          0.194        
  188           68            4           15           11          0.807          0.193        
  189           69            4           15           11          0.809          0.191        
  190           69            4           15           11          0.810          0.190        
  191           69            4           16           12          0.811          0.189        
  192           70            4           16           12          0.812          0.188        
  193           70            4           16           12          0.807          0.193        
  194           70            4           16           12          0.808          0.192        
  195           71            4           16           12          0.809          0.191        
  196           71            4           16           12          0.810          0.190        
  197           72            4           16           12          0.811          0.189        
  198           72            4           16           12          0.812          0.188        
  199           72            4           16           12          0.813          0.187        
  200           73            4           16           12          0.814          0.186        
  201           73            4           16           12          0.810          0.190        
  202           73            4           16           12          0.811          0.189        
  203           73            4           16           12          0.812          0.188        
  204           74            4           16           12          0.813          0.187        
  205           74            4           16           12          0.814          0.186        
  206           74            4           16           12          0.810          0.190        
  207           74            4           16           12          0.811          0.189        
  208           74            4           16           12          0.812          0.188        
  209           75            4           16           12          0.813          0.188        
  210           76            4           16           12          0.809          0.191        
  211           76            4           16           12          0.810          0.190        
  212           76            4           16           12          0.810          0.190        
  213           77            4           16           12          0.811          0.189        
  214           77            4           16           12          0.812          0.188        
  215           77            4           16           12          0.808          0.192        
  216           77            4           16           12          0.809          0.191        
  217           77            4           16           12          0.810          0.190        
  218           77            4           16           12          0.806          0.194        
  219           77            4           16           12          0.807          0.193        
  220           77            4           16           12          0.804          0.196        
  221           78            4           16           12          0.805          0.195        
  222           78            4           16           12          0.805          0.195        
  223           79            4           16           12          0.802          0.198        
  224           80            4           16           12          0.803          0.197        
  225           80            4           16           12          0.804          0.196        
  226           81            4           16           12          0.804          0.196        
  227           81            4           16           12          0.801          0.199        
  228           81            4           16           12          0.797          0.203        
  229           82            4           16           12          0.798          0.202        
  230           83            4           16           12          0.799          0.201        
  231           83            4           16           12          0.800          0.200        
  232           83            4           16           12          0.801          0.199        
  233           83            4           16           12          0.797          0.203        
  234           83            4           16           12          0.798          0.202        
  235           83            4           16           12          0.799          0.201        
  236           84            4           16           12          0.796          0.204        
  237           84            4           16           12          0.797          0.203        
  238           84            4           16           12          0.797          0.203        
  239           84            4           16           12          0.798          0.202        
  240           85            4           16           12          0.795          0.205        
  241           85            4           16           12          0.796          0.204        
  242           86            4           16           12          0.793          0.207        
  243           86            4           16           12          0.793          0.207        
  244           86            4           16           12          0.790          0.210        
  245           87            4           16           12          0.791          0.209        
  246           87            4           16           12          0.792          0.208        
  247           87            4           16           12          0.789          0.211        
  248           87            4           16           12          0.789          0.211        
  249           88            4           16           12          0.790          0.210        
  250           88            4           16           12          0.787          0.213        
  251           89            4           16           12          0.784          0.216        
  252           90            4           16           12          0.785          0.215        
  253           90            4           16           12          0.786          0.214        
  254           90            4           16           12          0.787          0.213        
  255           91            4           16           12          0.787          0.213        
  256           91            4           16           12          0.784          0.216        
  257           91            4           16           12          0.785          0.215        
  258           92            4           16           12          0.786          0.214        
  259           92            4           16           12          0.787          0.213        
  260           92            4           16           12          0.784          0.216        
  261           93            4           16           12          0.785          0.215        
  262           93            4           16           12          0.785          0.215        
  263           93            4           16           12          0.786          0.214        
  264           94            4           16           12          0.787          0.213        
  265           94            4           16           12          0.788          0.212        
  266           94            4           16           12          0.789          0.211        
  267           94            4           16           12          0.786          0.214        
  268           94            4           16           12          0.787          0.213        
  269           94            4           16           12          0.787          0.213        
  270           94            4           16           12          0.784          0.216        
  271           94            4           16           12          0.785          0.215        
  272           94            4           17           13          0.786          0.214        
  273           94            4           17           13          0.787          0.213        
  274           94            4           17           13          0.788          0.212        
  275           95            4           17           13          0.788          0.212        
  276           95            4           17           13          0.789          0.211        
  277           95            4           17           13          0.790          0.210        
  278           95            4           17           13          0.791          0.209        
  279           95            4           17           13          0.791          0.209        
  280           95            4           17           13          0.792          0.208        
  281           95            4           17           13          0.793          0.207        
  282           95            4           17           13          0.794          0.206        
  283           96            4           17           13          0.794          0.206        
  284           97            4           17           13          0.795          0.205        
  285           97            4           17           13          0.796          0.204        
  286           97            4           17           13          0.796          0.204        
  287           98            4           17           13          0.797          0.203        
  288           98            4           17           13          0.798          0.202        
  289           99            4           17           13          0.799          0.201        
  290           99            4           17           13          0.799          0.201        
  291           99            4           17           13          0.800          0.200        
  292           99            4           17           13          0.801          0.199        
  293          100            4           17           13          0.801          0.199        
  294          100            4           17           13          0.802          0.198        
  295          101            4           17           13          0.803          0.197        
  296          101            4           17           13          0.800          0.200        
  297          101            4           17           13          0.797          0.203        
  298          101            4           17           13          0.798          0.202        
  299          102            4           17           13          0.795          0.205        
  300          102            4           17           13          0.796          0.204        
  301          103            4           17           13          0.797          0.203        
  302          103            4           17           13          0.794          0.206        
  303          104            4           17           13          0.795          0.205        
  304          104            4           17           13          0.795          0.205        
  305          105            4           17           13          0.796          0.204        
  306          105            4           17           13          0.797          0.203        
  307          105            4           17           13          0.797          0.203        
  308          106            4           17           13          0.795          0.205        
  309          107            4           17           13          0.795          0.205        
  310          107            4           17           13          0.796          0.204        
  311          107            4           17           13          0.794          0.206        
  312          108            4           17           13          0.794          0.206        
  313          108            4           17           13          0.795          0.205        
  314          108            4           17           13          0.792          0.208        
  315          109            4           17           13          0.793          0.207        
